id,pop_size,lex_size,vocab_size,epsilon,speech_len,alpha,beta,a_mult,strength,num_folds,model,param_grid,scoring,rho,score
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6174941058862976,0.5791072326912949
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7039770699629031,0.41773690488355386
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6042627672555061,0.6137153256576491
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6833741650328156,0.4580177402898518
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6025107481358393,0.6353775459771389
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6776958645108068,0.49177678398205005
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7487775985401697,0.3241636543636684
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.70009769187171,0.45047517678857946
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8613607513161419,0.13920099799513735
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7196509176677143,0.33324562414469217
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6763520125108293,0.4616066600804608
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7833866475133502,0.2710208870616901
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7100800252430071,0.39044405467159227
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7610474090313575,0.31103965269197903
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8109859774046975,0.2054504945903431
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6894332902335525,0.45939559957411047
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.84270118831018,0.20067748055094697
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7636600130486497,0.29426420801399716
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8668648947671889,0.158742621539247
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.5914865926273477,0.6376301465642991
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8497197976606241,0.14902575105508356
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7888855656965275,0.21893477034036546
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.5728593129131919,0.6529656197346394
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6241260056022293,0.5733945514581958
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6894714963002408,0.4374872427282182
