id,pop_size,lex_size,vocab_size,epsilon,speech_len,alpha,beta,left_prop,num_folds,model,param_grid,scoring,calibrate,cal_method,rho,score
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7652064702562733,-0.1895303167932182
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.589145295747321,-0.36677770846191815
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6962532149024754,-0.27317915962611106
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6331566929993768,-0.3676521541589636
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5169009541737549,-0.38491808643298675
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5138081781678259,-0.39280408098628955
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.703897250090555,-0.3121434204077466
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8351888346275305,-0.11890642911033436
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7507829328063786,-0.20494358854136138
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6733011198044689,-0.32289999030742267
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5756327588896784,-0.36244010306328456
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8772175943166618,-0.050996450860741185
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7695733088576717,-0.18304185516319313
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.852221668210237,-0.08897312577592709
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8818291318526215,-0.048690772782050806
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7714233391379157,-0.21025372412445575
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.851477277780627,-0.08662556847536884
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7770815942151061,-0.17425954055427129
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5095243360274697,-0.3595529441530013
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.837709074719371,-0.08156277346538489
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5792189599776623,-0.3545501764469171
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7063313928067728,-0.29390402364026713
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7309052184795103,-0.26119086125987334
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7178094006290716,-0.27712551997648316
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8799736075427064,-0.03293614697229072
